"","disease","state","year","weeks_reporting","count","population"
"1","Hepatitis A","New York",1966,50,2435,17895985
"2","Hepatitis A","New York",1967,52,3394,18025684
"3","Hepatitis A","New York",1968,52,3728,18128492
"4","Hepatitis A","New York",1969,49,3976,18200269
"5","Hepatitis A","New York",1970,51,5024,18236967
"6","Hepatitis A","New York",1971,50,4825,18236388
"7","Hepatitis A","New York",1972,46,3438,18203314
"8","Hepatitis A","New York",1973,47,2821,18144367
"9","Hepatitis A","New York",1974,46,2193,18066218
"10","Hepatitis A","New York",1975,49,1932,17975503
"11","Hepatitis A","New York",1976,51,2072,17878766
"12","Hepatitis A","New York",1977,50,1266,17782428
"13","Hepatitis A","New York",1978,49,1155,17692772
"14","Hepatitis A","New York",1979,50,1065,17615962
"15","Hepatitis A","New York",1980,38,666,17558072
"16","Hepatitis A","New York",1981,45,1103,17523755
"17","Hepatitis A","New York",1982,48,1145,17512164
"18","Hepatitis A","New York",1983,47,1305,17521154
"19","Hepatitis A","New York",1984,47,1683,17548657
"20","Hepatitis A","New York",1985,30,434,17592652
"21","Hepatitis A","New York",1986,19,207,17651150
"22","Hepatitis A","New York",1987,40,782,17722172
"23","Hepatitis A","New York",1988,22,545,17803734
"24","Hepatitis A","New York",1989,33,1089,17893839
"25","Hepatitis A","New York",1990,41,1403,17990455
"26","Hepatitis A","New York",1991,34,1254,18091650
"27","Hepatitis A","New York",1992,29,632,18195984
"28","Hepatitis A","New York",1993,24,189,18302118
"29","Hepatitis A","New York",1994,21,496,18408682
"30","Hepatitis A","New York",1995,39,1090,18514274
"31","Hepatitis A","New York",1996,41,782,18617460
"32","Hepatitis A","New York",1997,24,463,18716776
"33","Hepatitis A","New York",1998,34,521,18810729
"34","Hepatitis A","New York",1999,36,397,18897802
"35","Hepatitis A","New York",2000,40,487,18976457
"36","Hepatitis A","New York",2001,38,411,19045556
"37","Hepatitis A","New York",2002,46,715,19105612
"38","Hepatitis A","New York",2003,43,532,19157572
"39","Hepatitis A","New York",2004,48,380,19202409
"40","Hepatitis A","New York",2005,48,388,19241109
"41","Hepatitis A","New York",2006,47,280,19274679
"42","Hepatitis A","New York",2007,47,262,19304134
"43","Hepatitis A","New York",2008,51,148,19330500
"44","Hepatitis A","New York",2009,48,101,19354809
"45","Hepatitis A","New York",2010,48,2815,19378102
"46","Hepatitis A","New York",2011,49,112,19401248
"47","Measles","New York",1928,51,75391,12184134
"48","Measles","New York",1929,52,30318,12397906
"49","Measles","New York",1930,52,39887,12588066
"50","Measles","New York",1931,52,54376,12749102
"51","Measles","New York",1932,52,60464,12882742
"52","Measles","New York",1933,52,72057,12992852
"53","Measles","New York",1934,52,34208,13083613
"54","Measles","New York",1935,52,69073,13159437
"55","Measles","New York",1936,50,64366,13224911
"56","Measles","New York",1937,50,27404,13284755
"57","Measles","New York",1938,52,70111,13343787
"58","Measles","New York",1939,50,44812,13406915
"59","Measles","New York",1940,48,28562,13479142
"60","Measles","New York",1941,48,104747,13564576
"61","Measles","New York",1942,50,24865,13663361
"62","Measles","New York",1943,47,61243,13774649
"63","Measles","New York",1944,47,42287,13897589
"64","Measles","New York",1945,48,6548,14031321
"65","Measles","New York",1946,52,80500,14174970
"66","Measles","New York",1947,50,15097,14327635
"67","Measles","New York",1948,44,47977,14488381
"68","Measles","New York",1949,52,52580,14656239
"69","Measles","New York",1950,51,29924,14830192
"70","Measles","New York",1951,49,35827,15009302
"71","Measles","New York",1952,49,76056,15193092
"72","Measles","New York",1953,49,11516,15381188
"73","Measles","New York",1954,52,86718,15573194
"74","Measles","New York",1955,49,38542,15768693
"75","Measles","New York",1956,52,49716,15967244
"76","Measles","New York",1957,51,38255,16168384
"77","Measles","New York",1958,50,60457,16371622
"78","Measles","New York",1959,48,23392,16576443
"79","Measles","New York",1960,52,46685,16782304
"80","Measles","New York",1961,51,35367,16988157
"81","Measles","New York",1962,52,47224,17190958
"82","Measles","New York",1963,48,18799,17387034
"83","Measles","New York",1964,51,27599,17572556
"84","Measles","New York",1965,52,9296,17743562
"85","Measles","New York",1966,51,10894,17895985
"86","Measles","New York",1967,52,1205,18025684
"87","Measles","New York",1968,52,3799,18128492
"88","Measles","New York",1969,51,5520,18200269
"89","Measles","New York",1970,51,1568,18236967
"90","Measles","New York",1971,50,4384,18236388
"91","Measles","New York",1972,50,655,18203314
"92","Measles","New York",1973,51,1772,18144367
"93","Measles","New York",1974,48,1416,18066218
"94","Measles","New York",1975,51,1221,17975503
"95","Measles","New York",1976,52,3093,17878766
"96","Measles","New York",1977,49,4630,17782428
"97","Measles","New York",1978,52,1840,17692772
"98","Measles","New York",1979,52,1563,17615962
"99","Measles","New York",1980,48,1930,17558072
"100","Measles","New York",1981,47,349,17523755
"101","Measles","New York",1982,44,182,17512164
"102","Measles","New York",1983,18,31,17521154
"103","Measles","New York",1984,38,146,17548657
"104","Measles","New York",1985,40,166,17592652
"105","Measles","New York",1986,39,945,17651150
"106","Measles","New York",1987,46,436,17722172
"107","Measles","New York",1988,34,92,17803734
"108","Measles","New York",1989,44,291,17893839
"109","Measles","New York",1990,45,806,17990455
"110","Measles","New York",1991,37,1407,18091650
"111","Measles","New York",1992,33,112,18195984
"112","Measles","New York",1993,1,0,18302118
"113","Measles","New York",1994,39,56,18408682
"114","Measles","New York",1995,22,2,18514274
"115","Measles","New York",1996,0,0,18617460
"116","Measles","New York",1997,39,22,18716776
"117","Measles","New York",1998,0,0,18810729
"118","Measles","New York",1999,0,0,18897802
"119","Measles","New York",2000,19,2,18976457
"120","Measles","New York",2001,17,0,19045556
"121","Measles","New York",2002,14,1,19105612
"122","Mumps","New York",1968,0,0,18128492
"123","Mumps","New York",1969,0,0,18200269
"124","Mumps","New York",1970,11,1026,18236967
"125","Mumps","New York",1971,0,0,18236388
"126","Mumps","New York",1972,0,0,18203314
"127","Mumps","New York",1973,0,0,18144367
"128","Mumps","New York",1974,49,1816,18066218
"129","Mumps","New York",1975,52,2148,17975503
"130","Mumps","New York",1976,52,2198,17878766
"131","Mumps","New York",1977,51,900,17782428
"132","Mumps","New York",1978,51,414,17692772
"133","Mumps","New York",1979,52,338,17615962
"134","Mumps","New York",1980,50,277,17558072
"135","Mumps","New York",1981,48,235,17523755
"136","Mumps","New York",1982,51,147,17512164
"137","Mumps","New York",1983,48,142,17521154
"138","Mumps","New York",1984,51,148,17548657
"139","Mumps","New York",1985,44,162,17592652
"140","Mumps","New York",1986,42,89,17651150
"141","Mumps","New York",1987,22,66,17722172
"142","Mumps","New York",1988,41,194,17803734
"143","Mumps","New York",1989,38,187,17893839
"144","Mumps","New York",1990,0,0,17990455
"145","Mumps","New York",1991,0,0,18091650
"146","Mumps","New York",1992,38,72,18195984
"147","Mumps","New York",1993,16,13,18302118
"148","Mumps","New York",1994,26,32,18408682
"149","Mumps","New York",1995,41,37,18514274
"150","Mumps","New York",1996,47,38,18617460
"151","Mumps","New York",1997,20,5,18716776
"152","Mumps","New York",1998,31,145,18810729
"153","Mumps","New York",1999,38,12,18897802
"154","Mumps","New York",2000,19,8,18976457
"155","Mumps","New York",2001,32,13,19045556
"156","Mumps","New York",2002,39,8,19105612
"157","Pertussis","New York",1938,51,23715,13343787
"158","Pertussis","New York",1939,52,22013,13406915
"159","Pertussis","New York",1940,51,19125,13479142
"160","Pertussis","New York",1941,51,17747,13564576
"161","Pertussis","New York",1942,51,21160,13663361
"162","Pertussis","New York",1943,52,15510,13774649
"163","Pertussis","New York",1944,52,9040,13897589
"164","Pertussis","New York",1945,52,12928,14031321
"165","Pertussis","New York",1946,52,9110,14174970
"166","Pertussis","New York",1947,51,9751,14327635
"167","Pertussis","New York",1948,52,5994,14488381
"168","Pertussis","New York",1949,52,8865,14656239
"169","Pertussis","New York",1950,51,7533,14830192
"170","Pertussis","New York",1951,48,3578,15009302
"171","Pertussis","New York",1952,48,3135,15193092
"172","Pertussis","New York",1953,49,5363,15381188
"173","Pertussis","New York",1954,52,4930,15573194
"174","Pertussis","New York",1955,51,2513,15768693
"175","Pertussis","New York",1974,22,87,18066218
"176","Pertussis","New York",1975,19,72,17975503
"177","Pertussis","New York",1976,15,63,17878766
"178","Pertussis","New York",1977,20,86,17782428
"179","Pertussis","New York",1978,22,114,17692772
"180","Pertussis","New York",1979,18,72,17615962
"181","Pertussis","New York",1980,17,74,17558072
"182","Pertussis","New York",1981,5,22,17523755
"183","Pertussis","New York",1982,17,82,17512164
"184","Pertussis","New York",1983,47,168,17521154
"185","Pertussis","New York",1984,43,120,17548657
"186","Pertussis","New York",1985,46,130,17592652
